ano;Cod_Mun;n_fam_rua;pes_rf_ate_meio_sm;pes_insc_cadun;perc_rf_ate_meio_sm;Pes_PBF;Fam_PBF;MapSeq;F_CAD_EP;Fam_Aux;Fam_PBF_Aux;Fam_PBF_2;MapSeq_Aux;PCD_BPC;Ido_BPC;Pop_65_mais;Pop_2020;65_menos_Idoso_BPC
2018;3503158;1;1143;1469;77,8;488.3333333333333;150.58333333333334;3.0;141.58333333333334;;150.58333333333334;;;24.166666666666668;14.916666666666666;304.0;2471.0;289.0833333333333
2019;3503158;1;1072;1438;74,5;480.1666666666667;160.25;3.0;162.83333333333334;;160.25;;;24.416666666666668;15.416666666666666;304.0;2471.0;288.5833333333333
2020;3503158;2;1104;1443;76,5;497.75;169.25;2.25;189.08333333333334;;169.25;;;26.166666666666668;25.25;304.0;2471.0;278.75
2018;3503208;92;27227;32217;84,5;12736.416666666666;3869.75;4.0;2328.25;;3869.75;;;1637.1666666666667;1655.75;27713.0;227618.0;26057.25
2019;3503208;153;30055;37185;80,8;13310.5;4291.583333333333;4.0;3240.25;;4291.583333333333;;;1611.6666666666667;1663.3333333333333;27713.0;227618.0;26049.666666666668
2020;3503208;169;30404;37876;80,3;14886.833333333334;4864.083333333333;4.0;3984.0833333333335;;4864.083333333333;;;1610.8333333333333;1703.0;27713.0;227618.0;26010.0
2018;3503307;35;25768;33202;77,6;15250.416666666666;5478.75;3.0;5367.416666666667;;5478.75;;;898.25;787.5833333333334;14527.0;131057.0;13739.416666666666
2019;3503307;98;26111;34759;75,1;15029.333333333334;5487.916666666667;3.0;5734.916666666667;;5487.916666666667;;;901.4166666666666;765.9166666666666;14527.0;131057.0;13761.083333333334
2020;3503307;108;25457;33032;77,1;13654.833333333334;4900.166666666667;3.0;6086.583333333333;;4900.166666666667;;;893.25;782.0;14527.0;131057.0;13745.0
2018;3503356;0;828;979;84,6;525.0833333333334;164.66666666666666;2.0;206.83333333333334;;164.66666666666666;;;13.833333333333334;7.083333333333333;288.0;1816.0;280.9166666666667
2019;3503356;0;845;1027;82,3;456.3333333333333;141.33333333333334;2.0;148.08333333333334;;141.33333333333334;;;13.583333333333334;6.25;288.0;1816.0;281.75
2020;3503356;0;870;1029;84,5;436.0;134.75;2.0833333333333335;131.91666666666666;;134.75;;;11.583333333333334;5.0;288.0;1816.0;283.0
2018;3503406;0;1978;2814;70,3;936.0;269.1666666666667;4.0;217.0;;269.1666666666667;;;62.583333333333336;69.83333333333333;1282.0;8196.0;1212.1666666666667
2019;3503406;3;2045;2953;69,3;914.5833333333334;264.75;4.0;226.83333333333334;;264.75;;;61.083333333333336;68.16666666666667;1282.0;8196.0;1213.8333333333333
2020;3503406;6;2056;2862;71,8;957.9166666666666;297.75;3.25;268.6666666666667;;297.75;;;54.333333333333336;68.91666666666667;1282.0;8196.0;1213.0833333333333
2018;3503505;2;1766;1977;89,3;948.6666666666666;294.8333333333333;2.0;266.1666666666667;;294.8333333333333;;;47.666666666666664;47.166666666666664;370.0;3843.0;322.8333333333333
2019;3503505;2;1756;1957;89,7;996.8333333333334;316.8333333333333;2.0;313.0;;316.8333333333333;;;46.333333333333336;46.0;370.0;3843.0;324.0
2020;3503505;2;1675;1865;89,8;1026.5;330.6666666666667;2.0;335.5833333333333;;330.6666666666667;;;43.916666666666664;43.916666666666664;370.0;3843.0;326.0833333333333
2018;3503604;1;2527;2913;86,7;1376.0833333333333;400.1666666666667;3.0;268.1666666666667;;400.1666666666667;;;85.41666666666667;43.583333333333336;857.0;10857.0;813.4166666666666
2019;3503604;1;2639;3230;81,7;1343.5833333333333;384.25;3.1666666666666665;234.66666666666666;;384.25;;;83.83333333333333;42.083333333333336;857.0;10857.0;814.9166666666666
2020;3503604;1;2532;3076;82,3;1365.25;385.25;3.25;248.33333333333334;;385.25;;;75.16666666666667;39.916666666666664;857.0;10857.0;817.0833333333334
2018;3503703;0;1128;1507;74,9;546.8333333333334;177.66666666666666;4.0;76.08333333333333;;177.66666666666666;;;54.583333333333336;38.083333333333336;1024.0;9320.0;985.9166666666666
2019;3503703;0;1174;1539;76,3;557.4166666666666;190.0;4.0;100.58333333333333;;190.0;;;49.0;36.833333333333336;1024.0;9320.0;987.1666666666666
2020;3503703;0;1176;1515;77,6;617.0;198.75;4.0;121.75;;198.75;;;49.75;36.25;1024.0;9320.0;987.75
2018;3503802;7;8730;11561;75,5;4238.166666666667;1299.1666666666667;4.0;847.5;;1299.1666666666667;;;323.9166666666667;435.5;4531.0;52609.0;4095.5
2019;3503802;8;8781;11833;74,2;3560.8333333333335;1066.5;4.0;692.5833333333334;;1066.5;;;328.9166666666667;441.5833333333333;4531.0;52609.0;4089.4166666666665
2020;3503802;12;9136;11692;78,1;3753.3333333333335;1112.1666666666667;4.0;726.0833333333334;;1112.1666666666667;;;329.4166666666667;449.5;4531.0;52609.0;4081.5
2018;3503901;34;22068;25190;87,6;13264.666666666666;4182.583333333333;3.0;2871.5;;4182.583333333333;;;585.3333333333334;860.6666666666666;6848.0;89744.0;5987.333333333333
2019;3503901;46;22113;26193;84,4;12221.083333333334;3918.5833333333335;3.0;2988.3333333333335;;3918.5833333333335;;;608.4166666666666;903.4166666666666;6848.0;89744.0;5944.583333333333
2020;3503901;51;23532;27493;85,6;12510.583333333334;4012.5;3.0;3524.0833333333335;;4012.5;;;599.75;976.9166666666666;6848.0;89744.0;5871.083333333333
2018;3503950;0;611;1056;57,9;234.0;74.41666666666667;3.0;57.833333333333336;;74.41666666666667;;;19.75;5.25;293.0;1765.0;287.75
2019;3503950;0;667;1102;60,5;221.08333333333334;70.0;3.0833333333333335;64.16666666666667;;70.0;;;21.0;5.0;293.0;1765.0;288.0
2020;3503950;0;675;1072;63;232.83333333333334;76.83333333333333;3.0833333333333335;78.0;;76.83333333333333;;;19.416666666666668;4.75;293.0;1765.0;288.25
2018;3504008;35;15339;19143;80,1;7920.416666666667;2516.5833333333335;4.0;1568.5;;2516.5833333333335;;;894.25;785.0833333333334;12534.0;101381.0;11748.916666666666
2019;3504008;42;15460;19965;77,4;7219.416666666667;2349.1666666666665;4.0;1516.9166666666667;;2349.1666666666665;;;876.9166666666666;810.9166666666666;12534.0;101381.0;11723.083333333334
2020;3504008;42;15033;19061;78,9;7288.416666666667;2347.8333333333335;4.0;1506.3333333333333;;2347.8333333333335;;;856.0833333333334;839.0;12534.0;101381.0;11695.0
2018;3504107;198;20281;25060;80,9;9945.166666666666;2877.3333333333335;4.0;1911.75;;2877.3333333333335;;;1015.6666666666666;1253.8333333333333;15022.0;139606.0;13768.166666666666
2019;3504107;211;20914;26638;78,5;9459.5;2827.4166666666665;4.0;2204.0;;2827.4166666666665;;;1073.0833333333333;1326.75;15022.0;139606.0;13695.25
2020;3504107;210;21627;26970;80,2;10756.666666666666;3245.3333333333335;4.0;2568.75;;3245.3333333333335;;;1150.25;1526.6666666666667;15022.0;139606.0;13495.333333333334
2018;3504206;0;1440;1747;82,4;491.0;141.41666666666666;4.0;83.25;;141.41666666666666;;;144.91666666666666;91.0;2010.0;14471.0;1919.0
2019;3504206;1;1426;1880;75,9;452.5833333333333;146.08333333333334;4.0;109.58333333333333;;146.08333333333334;;;147.58333333333334;92.83333333333333;2010.0;14471.0;1917.1666666666667
2020;3504206;2;1495;2025;73,8;457.9166666666667;151.41666666666666;4.0;120.0;;151.41666666666666;;;151.16666666666666;100.41666666666667;2010.0;14471.0;1909.5833333333333
2018;3504305;4;1640;1854;88,5;1140.75;366.3333333333333;2.9166666666666665;347.1666666666667;;366.3333333333333;;;42.916666666666664;30.583333333333332;595.0;5288.0;564.4166666666666
2019;3504305;4;1519;1749;86,8;953.25;329.5833333333333;3.0;326.0;;329.5833333333333;;;45.75;29.166666666666668;595.0;5288.0;565.8333333333334
2020;3504305;1;1527;1717;88,9;947.75;325.75;3.0;318.1666666666667;;325.75;;;42.833333333333336;30.083333333333332;595.0;5288.0;564.9166666666666
2018;3504404;5;3823;4346;88;2409.8333333333335;761.0;2.3333333333333335;675.1666666666666;;761.0;;;110.58333333333333;39.0;1041.0;12114.0;1002.0
2019;3504404;4;4151;4746;87,5;2651.9166666666665;906.3333333333334;2.0;920.3333333333334;;906.3333333333334;;;107.25;40.25;1041.0;12114.0;1000.75
2020;3504404;4;4473;5074;88,2;2503.6666666666665;844.0;2.0;1047.0;;844.0;;;110.0;42.166666666666664;1041.0;12114.0;998.8333333333334
2018;3504503;59;15332;17714;86,6;8106.083333333333;2424.0833333333335;4.0;1758.5;;2424.0833333333335;;;998.8333333333334;621.6666666666666;9944.0;87538.0;9322.333333333334
2019;3504503;92;15762;18619;84,7;7999.5;2489.4166666666665;4.0;2009.5;;2489.4166666666665;;;999.75;641.1666666666666;9944.0;87538.0;9302.833333333334
2020;3504503;96;14805;17316;85,5;8517.333333333334;2663.1666666666665;4.0;2092.5833333333335;;2663.1666666666665;;;969.0;675.6666666666666;9944.0;87538.0;9268.333333333334
2018;3504602;3;2433;4030;60,4;1024.5;317.0;4.0;201.08333333333334;;317.0;;;122.33333333333333;211.58333333333334;1706.0;16329.0;1494.4166666666667
2019;3504602;4;2539;4392;57,8;824.75;250.41666666666666;4.0;162.5;;250.41666666666666;;;125.16666666666667;219.16666666666666;1706.0;16329.0;1486.8333333333333
2020;3504602;8;2677;4330;61,8;902.4166666666666;261.25;4.0;200.75;;261.25;;;129.08333333333334;263.6666666666667;1706.0;16329.0;1442.3333333333333
2018;3504701;0;518;635;81,6;298.4166666666667;110.08333333333333;2.0;121.25;;110.08333333333333;;;10.0;5.0;215.0;3704.0;210.0
2019;3504701;0;558;683;81,7;294.1666666666667;107.66666666666667;2.0;128.91666666666666;;107.66666666666667;;;11.0;6.083333333333333;215.0;3704.0;208.91666666666666
2020;3504701;0;524;623;84,1;280.8333333333333;98.5;2.8333333333333335;133.66666666666666;;98.5;;;10.416666666666666;9.166666666666666;215.0;3704.0;205.83333333333334
2018;3504800;4;1671;2243;74,5;520.8333333333334;156.41666666666666;4.0;79.41666666666667;;156.41666666666666;;;88.41666666666667;74.0;1237.0;8524.0;1163.0
2019;3504800;3;1721;2431;70,8;530.9166666666666;161.08333333333334;4.0;83.25;;161.08333333333334;;;93.66666666666667;75.91666666666667;1237.0;8524.0;1161.0833333333333
2020;3504800;4;1778;2380;74,7;606.0833333333334;187.16666666666666;4.0;133.66666666666666;;187.16666666666666;;;97.16666666666667;79.33333333333333;1237.0;8524.0;1157.6666666666667
2018;3504909;3;3869;4741;81,6;2057.8333333333335;639.5;3.0;417.6666666666667;;639.5;;;119.41666666666667;120.33333333333333;1350.0;10651.0;1229.6666666666667
2019;3504909;4;4002;4990;80,2;1912.5833333333333;602.0833333333334;3.0;392.25;;602.0833333333334;;;118.5;115.33333333333333;1350.0;10651.0;1234.6666666666667
2020;3504909;2;4074;4991;81,6;1937.0;607.6666666666666;3.0;403.6666666666667;;607.6666666666666;;;112.83333333333333;119.5;1350.0;10651.0;1230.5
2018;3505005;0;1504;1775;84,7;936.1666666666666;297.9166666666667;2.0;249.33333333333334;;297.9166666666667;;;18.833333333333332;20.5;439.0;3383.0;418.5
2019;3505005;0;1466;1817;80,7;868.25;285.3333333333333;2.0;240.33333333333334;;285.3333333333333;;;19.5;26.666666666666668;439.0;3383.0;412.3333333333333
2020;3505005;0;1438;1742;82,5;793.1666666666666;257.0;2.0;252.0;;257.0;;;20.083333333333332;30.25;439.0;3383.0;408.75
2018;3505104;0;2216;2789;79,5;1300.6666666666667;420.6666666666667;3.0;401.8333333333333;;420.6666666666667;;;110.33333333333333;54.5;782.0;7284.0;727.5
2019;3505104;1;2315;2928;79,1;1183.1666666666667;400.4166666666667;3.0;413.75;;400.4166666666667;;;110.75;54.5;782.0;7284.0;727.5
2020;3505104;1;2442;2980;81,9;1098.4166666666667;375.3333333333333;3.0;494.0833333333333;;375.3333333333333;;;109.08333333333333;57.583333333333336;782.0;7284.0;724.4166666666666
2018;3505203;10;4967;5962;83,3;2667.0;704.1666666666666;4.0;516.8333333333334;;704.1666666666666;;;216.08333333333334;239.0;4227.0;33993.0;3988.0
2019;3505203;12;5446;6492;83,9;2613.75;752.5;4.0;666.0833333333334;;752.5;;;218.75;231.33333333333334;4227.0;33993.0;3995.6666666666665
2020;3505203;11;5379;6383;84,3;2806.75;810.9166666666666;4.0;715.0833333333334;;810.9166666666666;;;228.58333333333334;225.33333333333334;4227.0;33993.0;4001.6666666666665
2018;3505302;1;4980;6315;78,9;2770.8333333333335;922.0833333333334;4.0;749.8333333333334;;922.0833333333334;;;212.41666666666666;237.41666666666666;4506.0;34914.0;4268.583333333333
2019;3505302;5;5317;6850;77,6;3021.3333333333335;1073.9166666666667;4.0;1080.3333333333333;;1073.9166666666667;;;207.33333333333334;236.75;4506.0;34914.0;4269.25
2020;3505302;9;5568;6970;79,9;2816.3333333333335;979.8333333333334;4.0;1183.4166666666667;;979.8333333333334;;;203.0;236.83333333333334;4506.0;34914.0;4269.166666666667
2018;3505351;0;3722;3986;93,4;2552.8333333333335;809.75;1.0;831.75;;809.75;;;53.75;15.0;554.0;5530.0;539.0
2019;3505351;0;3559;3866;92,1;2302.4166666666665;742.3333333333334;1.0;756.8333333333334;;742.3333333333334;;;63.25;14.5;554.0;5530.0;539.5
2020;3505351;1;3590;3869;92,8;2325.9166666666665;749.1666666666666;1.0;744.75;;749.1666666666666;;;64.25;17.083333333333332;554.0;5530.0;536.9166666666666
2018;3505401;0;3548;4306;82,4;2181.0833333333335;665.0833333333334;2.0;555.0833333333334;;665.0833333333334;;;191.66666666666666;182.33333333333334;923.0;7687.0;740.6666666666666
2019;3505401;0;3672;4469;82,2;2239.0;723.0833333333334;2.0;693.9166666666666;;723.0833333333334;;;192.91666666666666;192.91666666666666;923.0;7687.0;730.0833333333334
2020;3505401;1;3829;4598;83,3;2293.0;775.9166666666666;1.25;843.1666666666666;;775.9166666666666;;;189.5;187.0;923.0;7687.0;736.0
2018;3505500;115;16674;21620;77,1;8992.25;3081.0833333333335;4.0;2967.25;;3081.0833333333335;;;1617.75;1128.5;13935.0;118048.0;12806.5
2019;3505500;173;16397;21030;78;8796.916666666666;3074.25;4.0;3196.5;;3074.25;;;1616.5;1113.6666666666667;13935.0;118048.0;12821.333333333334
2020;3505500;165;15667;19917;78,7;9225.5;3222.0833333333335;4.0;3314.75;;3222.0833333333335;;;1594.3333333333333;1114.8333333333333;13935.0;118048.0;12820.166666666666
2018;3505609;3;9166;10578;86,7;5819.583333333333;1796.8333333333333;3.0;1739.75;;1796.8333333333333;;;449.8333333333333;195.75;2106.0;32338.0;1910.25
2019;3505609;5;9499;11112;85,5;5728.916666666667;1828.0833333333333;3.0;1833.1666666666667;;1828.0833333333333;;;456.5;195.66666666666666;2106.0;32338.0;1910.3333333333333
2020;3505609;5;9339;10749;86,9;5311.833333333333;1661.3333333333333;3.0;1903.25;;1661.3333333333333;;;424.9166666666667;194.41666666666666;2106.0;32338.0;1911.5833333333333
2018;3505708;358;51662;59499;86,8;28815.833333333332;8857.333333333334;3.5;6966.333333333333;;8857.333333333334;;;1743.6666666666667;2423.3333333333335;18260.0;264390.0;15836.666666666666
2019;3505708;497;57304;67479;84,9;29382.5;9399.916666666666;3.0;8590.083333333334;;9399.916666666666;;;1731.0833333333333;2355.6666666666665;18260.0;264390.0;15904.333333333334
2020;3505708;496;56551;65634;86,2;32650.833333333332;10412.416666666666;3.0833333333333335;9668.333333333334;;10412.416666666666;;;1712.5833333333333;2465.3333333333335;18260.0;264390.0;15794.666666666666
2018;3505807;1;2998;4886;61,4;978.3333333333334;292.4166666666667;4.0;118.08333333333333;;292.4166666666667;;;180.91666666666666;195.08333333333334;2427.0;20301.0;2231.9166666666665
