ano;cod_ibge;pes_rf_ate_meio_sm;pes_insc_cadun;perc_rf_ate_meio_sm
2024;3534104;960;1534;62,6
2024;3534203;1008;1656;60,9
2024;3534302;5087;7498;67,8
2024;3534401;169793;256560;66,2
2024;3534500;627;1060;59,2
2024;3534609;5358;9835;54,5
2024;3534708;18897;29163;64,8
2024;3534757;2021;3821;52,9
2024;3534807;3126;4157;75,2
2024;3534906;2036;2990;68,1
2024;3535002;2418;3736;64,7
2024;3535101;1751;3445;50,8
2024;3535200;1792;3100;57,8
2024;3535309;5100;7340;69,5
2024;3535408;4919;6795;72,4
2024;3535507;11454;17118;66,9
2024;3535606;5195;7227;71,9
2024;3535705;965;1993;48,4
2024;3535804;4911;6434;76,3
2024;3535903;1402;2008;69,8
2024;3536000;2804;4424;63,4
2024;3536109;1793;3039;59
2024;3536208;5909;8854;66,7
2024;3536257;883;1798;49,1
2024;3536307;3989;5740;69,5
2024;3536406;2843;4142;68,6
2024;3536505;14961;21754;68,8
2024;3536570;614;1008;60,9
2024;3536604;2106;3158;66,7
2024;3536703;8728;14388;60,7
2024;3536802;1614;2185;73,9
2024;3536901;604;1390;43,5
2024;3537008;4454;6398;69,6
2024;3537107;6754;11652;58
2024;3537156;632;1285;49,2
2024;3537206;4015;5607;71,6
2024;3537305;11939;16673;71,6
2024;3537404;4696;7092;66,2
2024;3537503;1987;3250;61,1
2024;3537602;28120;37359;75,3
2024;3537701;1174;2157;54,4
2024;3537800;16387;21804;75,2
2024;3537909;6057;9176;66
2024;3538006;41975;57673;72,8
2024;3538105;2265;4141;54,7
2024;3538204;3536;5866;60,3
2024;3538303;1170;1677;69,8
2024;3538501;3286;4732;69,4
2024;3538600;6321;8650;73,1
2024;3538709;58489;92176;63,5
2024;3538808;6900;9227;74,8
2024;3538907;5118;8048;63,6
2024;3539004;1367;2245;60,9
2024;3539103;6998;9291;75,3
2024;3539202;3831;6355;60,3
2024;3539301;11625;17556;66,2
2024;3539400;2575;4570;56,3
2024;3539509;7528;11469;65,6
2024;3539608;1262;2269;55,6
2024;3539707;1235;1709;72,3
2024;3539806;35776;51580;69,4
2024;3539905;1607;2596;61,9
2024;3540002;3299;7227;45,6
2024;3540101;706;1038;68
2024;3540200;8050;12626;63,8
2024;3540259;1329;2268;58,6
2024;3540309;599;1433;41,8
2024;3540408;1159;1895;61,2
2024;3540507;2468;3695;66,8
2024;3540606;8879;13756;64,5
2024;3540705;7338;12024;61
2024;3540754;6928;8961;77,3
2024;3540804;3227;5283;61,1
2024;3540853;632;912;69,3
2024;3540903;4048;5361;75,5
2024;3541000;68709;92188;74,5
2024;3541059;1986;3229;61,5
2024;3541109;937;1457;64,3
2024;3541208;2437;4341;56,1
2024;3541307;10318;18023;57,2
2024;3541406;36953;58992;62,6
2024;3541505;5393;7779;69,3
2024;3541604;6660;8745;76,2
2024;3541653;1611;2226;72,4
2024;3541703;3599;6131;58,7
2024;3541802;765;1397;54,8
2024;3541901;3066;4790;64
2024;3542008;1754;2712;64,7
2024;3542107;1984;3246;61,1
2024;3542206;6227;9553;65,2
2024;3542305;1716;2251;76,2
2024;3542404;3401;5804;58,6
2024;3542503;1193;2115;56,4
2024;3542602;18577;26341;70,5
2024;3542701;2254;3251;69,3
2024;3542800;1548;2110;73,4
2024;3542909;2577;3606;71,5
2024;3543006;9249;11685;79,2
2024;3543105;1973;2548;77,4
2024;3543204;1526;2433;62,7
2024;3543238;613;1100;55,7
2024;3543253;2336;4649;50,2
2024;3543303;17715;27545;64,3
2024;3543402;94943;140231;67,7
2024;3543501;2572;3508;73,3
2024;3543600;1091;1685;64,7
2024;3543709;2141;2931;73
2024;3543808;1059;1553;68,2
2024;3543907;27409;45007;60,9
2024;3544004;3767;5934;63,5
2024;3544103;13207;20186;65,4
2024;3544202;2590;4205;61,6
2024;3544251;5069;7737;65,5
2024;3544301;3509;5132;68,4
2024;3544400;857;1714;50
2024;3544509;875;1719;50,9
2024;3544608;1369;2003;68,3
2024;3544707;568;1212;46,9
2024;3544806;2149;3679;58,4
2024;3544905;1697;2728;62,2
2024;3545001;5353;7613;70,3
2024;3545100;1347;2194;61,4
2024;3545159;886;1579;56,1
2024;3545209;17694;27790;63,7
2024;3545308;11419;17269;66,1
2024;3545407;2382;3691;64,5
2024;3545506;1229;1863;66
2024;3545605;2964;6413;46,2
2024;3545704;791;1819;43,5
2024;3545803;17758;27779;63,9
2024;3546009;4196;6655;63,1
2024;3546108;669;1460;45,8
2024;3546207;915;1624;56,3
2024;3546256;443;956;46,3
2024;3546306;6187;8970;69
2024;3546405;7900;11199;70,5
2024;3546504;1328;2238;59,3
2024;3546603;4831;7927;60,9
2024;3546702;2501;4020;62,2
2024;3546801;13632;18935;72
2024;3546900;1058;1804;58,6
2024;3547007;1633;2766;59
2024;3547106;882;1556;56,7
2024;3547205;341;767;44,5
2024;3547304;27902;40563;68,8
2024;3547403;285;715;39,9
2024;3547502;4459;7792;57,2
2024;3547601;4349;6980;62,3
2024;3547650;366;817;44,8
2024;3547700;4481;6899;65
2024;3547809;124699;187520;66,5
2024;3547908;2281;2953;77,2
2024;3548005;5237;8294;63,1
2024;3548054;2259;3651;61,9
2024;3548104;1143;1684;67,9
2024;3548203;2008;3160;63,5
2024;3548302;704;1383;50,9
2024;3548401;1189;1948;61
2024;3548500;50160;71725;69,9
2024;3548609;2995;4783;62,6
2024;3548708;133407;208052;64,1
2024;3548807;10260;19881;51,6
2024;3548906;39069;56127;69,6
2024;3549003;677;1120;60,4
2024;3549102;11042;19459;56,7
2024;3549201;479;1293;37
2024;3549250;388;806;48,1
2024;3549300;452;1023;44,2
2024;3549409;7237;10679;67,8
2024;3549508;2938;4004;73,4
2024;3549607;1716;2416;71
2024;3549706;9945;13897;71,6
2024;3549805;68873;107283;64,2
2024;3549904;150499;240101;62,7
2024;3549953;5601;7881;71,1
2024;3550001;3055;4296;71,1
2024;3550100;7082;12566;56,4
2024;3550209;7988;10500;76,1
2024;3550308;2504273;3856476;64,9
2024;3550407;7346;10112;72,6
2024;3550506;2130;3147;67,7
2024;3550605;14306;22256;64,3
2024;3550704;24904;34635;71,9
2024;3550803;1790;3108;57,6
2024;3550902;2876;4335;66,3
2024;3551009;85412;109176;78,2
2024;3551108;2218;3579;62
2024;3551207;1390;2178;63,8
2024;3551306;983;2086;47,1
2024;3551405;3915;5106;76,7
2024;3551504;11233;15531;72,3
2024;3551603;4729;7828;60,4
2024;3551702;24993;36654;68,2
2024;3551801;6098;8188;74,5
2024;3551900;3733;6024;62
2024;3552007;2532;3252;77,9
2024;3552106;6628;10117;65,5
2024;3552205;121688;179111;67,9
2024;3552304;1641;3725;44,1
2024;3552403;50966;78573;64,9
2024;3552502;90658;132215;68,6
2024;3552551;872;2049;42,6
2024;3552601;2387;3962;60,2
2024;3552700;2687;3973;67,6
2024;3552809;63585;99524;63,9
2024;3552908;1943;3190;60,9
2024;3553005;3517;4732;74,3
2024;3553104;1641;2432;67,5
2024;3553203;1044;1672;62,4
2024;3553302;5974;8716;68,5
2024;3553401;6850;10722;63,9
2024;3553500;3202;4470;71,6
2024;3553609;2536;3727;68
2024;3553658;401;861;46,6
2024;3553708;11924;17197;69,3
2024;3553807;5873;9098;64,6
2024;3553856;2874;4075;70,5
2024;3553906;1435;2156;66,6
2024;3553955;3123;5462;57,2
2024;3554003;24548;34087;72
2024;3554102;53760;82723;65
2024;3554201;1492;1972;75,7
2024;3554300;6460;9820;65,8
2024;3554409;1107;1921;57,6
2024;3554508;6198;11149;55,6
2024;3554607;905;1424;63,6
2024;3554656;961;1340;71,7
2024;3554706;1744;3514;49,6
2024;3554755;639;992;64,4
2024;3554805;9921;13449;73,8
2024;3554904;1435;2648;54,2
2024;3554953;1830;2972;61,6
2024;3555000;11766;20631;57
2024;3555109;2429;4302;56,5
2024;3555208;488;920;53
2024;3555307;390;738;52,8
2024;3555356;1122;1753;64
2024;3555406;30712;39510;77,7
2024;3555505;1543;2147;71,9
2024;3555604;1848;3516;52,6
2024;3555703;528;926;57
2024;3555802;1589;3338;47,6
2024;3555901;331;472;70,1
2024;3556008;2386;3874;61,6
2024;3556107;3161;5763;54,8
2024;3556206;11695;17768;65,8
2024;3556305;5315;8515;62,4
2024;3556354;2128;3509;60,6
2024;3556404;8097;12625;64,1
2024;3556453;7609;11529;66
2024;3556503;18015;27165;66,3
2024;3556602;2095;4071;51,5
2024;3556701;8872;15994;55,5
2024;3556800;3053;6807;44,9
2024;3556909;1655;2667;62,1
2024;3556958;388;758;51,2
2024;3557006;22358;30309;73,8
2024;3557105;16098;28314;56,9
2024;3557154;732;1526;48
2024;3557204;3127;4564;68,5
2024;3557303;2240;3316;67,6
2023;3500105;4077;7702;52,9
2023;3500204;1149;1912;60,1
2023;3500303;9454;12957;73
2023;3500402;1582;2654;59,6
2023;3500501;2898;4664;62,1
2023;3500550;2009;2807;71,6
2023;3500600;434;975;44,5
2023;3500709;7524;11189;67,2
2023;3500758;1456;2288;63,6
2023;3500808;1253;2185;57,3
2023;3500907;960;1668;57,6
2023;3501004;5344;8070;66,2
2023;3501103;971;1490;65,2
2023;3501152;2698;3932;68,6
2023;3501202;917;1552;59,1
2023;3501301;7667;10787;71,1
2023;3501400;1352;2319;58,3
2023;3501509;944;1627;58
2023;3501608;27061;41527;65,2
2023;3501707;6841;9931;68,9
2023;3501806;1616;2796;57,8
2023;3501905;8711;14246;61,1
2023;3502002;1198;1726;69,4
2023;3502101;12598;19290;65,3
2023;3502200;6924;10933;63,3
2023;3502309;2614;3488;74,9
2023;3502408;1083;2105;51,4
2023;3502507;8610;12217;70,5
2023;3502606;1338;2413;55,4
2023;3502705;9961;13735;72,5
2023;3502754;7466;9942;75,1
2023;3502804;35148;55753;63
2023;3502903;7889;11819;66,7
2023;3503000;1503;2380;63,2
2023;3503109;2165;3321;65,2
2023;3503158;1215;2004;60,6
2023;3503208;39449;57522;68,6
2023;3503307;27040;40394;66,9
2023;3503356;829;1253;66,2
2023;3503406;2481;4332;57,3
2023;3503505;1635;2165;75,5
2023;3503604;2471;4048;61
2023;3503703;1332;2142;62,2
2023;3503802;10464;17276;60,6
2023;3503901;26453;37755;70,1
2023;3503950;573;1214;47,2
2023;3504008;18525;28013;66,1
2023;3504107;26409;38705;68,2
2023;3504206;2542;4078;62,3
2023;3504305;1650;2128;77,5
2023;3504404;4450;6409;69,4
2023;3504503;18895;25979;72,7
2023;3504602;5122;8140;62,9
2023;3504701;547;768;71,2
2023;3504800;1845;2672;69
2023;3504909;4273;6219;68,7
2023;3505005;1349;1999;67,5
2023;3505104;2417;3603;67,1
2023;3505203;6452;8934;72,2
2023;3505302;6290;9681;65
2023;3505351;3724;4712;79
2023;3505401;4010;5301;75,6
2023;3505500;21262;31615;67,3
2023;3505609;11094;14453;76,8
2023;3505708;79837;110835;72
2023;3505807;4059;7564;53,7
2023;3505906;11785;17565;67,1
2023;3506003;65109;104912;62,1
2023;3506102;15828;23921;66,2
2023;3506201;693;1243;55,8
2023;3506300;3376;5113;66
2023;3506359;25571;34625;73,9
2023;3506409;1475;2914;50,6
2023;3506508;19458;29474;66
2023;3506607;11550;15333;75,3
2023;3506706;4167;6098;68,3
2023;3506805;2592;3963;65,4
2023;3506904;3112;4708;66,1
2023;3507001;12402;17020;72,9
2023;3507100;7447;10257;72,6
2023;3507159;1916;2470;77,6
2023;3507209;248;501;49,5
2023;3507308;1417;2235;63,4
2023;3507407;3214;5101;63
2023;3507456;1028;1969;52,2
2023;3507506;28793;39031;73,8
2023;3507605;37510;56211;66,7
2023;3507704;1943;3039;63,9
2023;3507753;1154;2003;57,6
2023;3507803;5241;7069;74,1
2023;3507902;3718;6048;61,5
2023;3508009;9687;12037;80,5
2023;3508108;5802;8335;69,6
2023;3508207;1507;2668;56,5
2023;3508306;1472;2758;53,4
2023;3508405;8788;12296;71,5
2023;3508504;21547;29200;73,8
2023;3508603;10037;12469;80,5
2023;3508702;6237;8804;70,8
2023;3508801;4068;5580;72,9
2023;3508900;781;1626;48
2023;3509007;20670;32264;64,1
2023;3509106;1999;2702;74
2023;3509205;29412;40904;71,9
2023;3509254;10344;14323;72,2
2023;3509304;2379;4611;51,6
2023;3509403;6411;8471;75,7
2023;3509452;2167;3231;67,1
2023;3509502;223848;327616;68,3
2023;3509601;17515;25420;68,9
2023;3509700;8211;13600;60,4
2023;3509809;1884;2393;78,7
2023;3509908;5378;6927;77,6
2023;3509957;2438;3150;77,4
2023;3510005;6176;10300;60
2023;3510104;765;1359;56,3
2023;3510153;2256;3584;62,9
2023;3510203;18011;26551;67,8
2023;3510302;8069;11194;72,1
2023;3510401;12260;16860;72,7
2023;3510500;41667;57216;72,8
2023;3510609;111794;159164;70,2
2023;3510708;2731;4588;59,5
2023;3510807;6232;8342;74,7
2023;3510906;774;1111;69,7
2023;3511003;5400;9799;55,1
2023;3511102;13521;19404;69,7
2023;3511201;1399;2459;56,9
2023;3511300;1817;4145;43,8
2023;3511409;5189;7661;67,7
2023;3511508;5800;9481;61,2
2023;3511607;3561;5570;63,9
2023;3511706;3962;5275;75,1
2023;3511904;2000;3324;60,2
2023;3512001;3157;4673;67,6
2023;3512100;2630;4327;60,8
2023;3512209;9141;12231;74,7
2023;3512308;4972;7316;68
2023;3512407;3761;7754;48,5
2023;3512506;1653;3302;50,1
2023;3512605;1598;2392;66,8
2023;3512704;1085;1740;62,4
2023;3512803;8611;12855;67
2023;3512902;2689;4304;62,5
2023;3513009;56510;80879;69,9
2023;3513108;8158;11889;68,6
2023;3513207;1833;2816;65,1
2023;3513306;506;923;54,8
2023;3513405;20111;25664;78,4
2023;3513504;30941;43221;71,6
2023;3513603;9773;12175;80,3
2023;3513702;4251;7056;60,2
2023;3513801;92929;141753;65,6
2023;3513850;455;1198;38
2023;3513900;3167;4374;72,4
2023;3514007;2534;3963;63,9
2023;3514106;5961;8997;66,3
2023;3514205;862;1444;59,7
2023;3514304;2016;3080;65,5
2023;3514403;7216;12091;59,7
2023;3514502;3204;5564;57,6
2023;3514601;2313;3305;70
2023;3514700;2415;3686;65,5
2023;3514809;6130;8161;75,1
2023;3514908;5611;7611;73,7
2023;3514924;771;1148;67,2
2023;3514957;454;744;61
2023;3515004;95598;133858;71,4
2023;3515103;28315;41139;68,8
2023;3515129;889;1497;59,4
2023;3515152;5340;9490;56,3
2023;3515186;4174;6349;65,7
2023;3515194;1039;2140;48,6
2023;3515202;1595;2988;53,4
2023;3515301;557;1063;52,4
