ano;cod_ibge;n_fam_rua
2023;3501509;2
2023;3501608;188
2023;3501707;27
2023;3501806;0
2023;3501905;121
2023;3502002;0
2023;3502101;73
2023;3502200;1
2023;3502309;0
2023;3502408;1
2023;3502507;15
2023;3502606;1
2023;3502705;13
2023;3502754;1
2023;3502804;384
2023;3502903;27
2023;3503000;4
2023;3503109;8
2023;3503158;2
2023;3503208;331
2023;3503307;247
2023;3503356;0
2023;3503406;2
2023;3503505;0
2023;3503604;4
2023;3503703;0
2023;3503802;18
2023;3503901;71
2023;3503950;0
2023;3504008;63
2023;3504107;229
2023;3504206;0
2023;3504305;0
2023;3504404;1
2023;3504503;153
2023;3504602;38
2023;3504701;0
2023;3504800;4
2023;3504909;1
2023;3505005;0
2023;3505104;0
2023;3505203;31
2023;3505302;10
2023;3505351;0
2023;3505401;0
2023;3505500;335
2023;3505609;0
2023;3505708;576
2023;3505807;10
2023;3505906;277
2023;3506003;423
2023;3506102;101
2023;3506201;0
2023;3506300;4
2023;3506359;199
2023;3506409;2
2023;3506508;187
2023;3506607;5
2023;3506706;1
2023;3506805;7
2023;3506904;1
2023;3507001;97
2023;3507100;62
2023;3507159;0
2023;3507209;0
2023;3507308;0
2023;3507407;14
2023;3507456;0
2023;3507506;103
2023;3507605;155
2023;3507704;0
2023;3507753;0
2023;3507803;19
2023;3507902;29
2023;3508009;17
2023;3508108;6
2023;3508207;0
2023;3508306;1
2023;3508405;27
2023;3508504;90
2023;3508603;2
2023;3508702;2
2023;3508801;7
2023;3508900;0
2023;3509007;77
2023;3509106;0
2023;3509205;63
2023;3509254;61
2023;3509304;0
2023;3509403;10
2023;3509452;0
2023;3509502;2506
2023;3509601;106
2023;3509700;26
2023;3509809;3
2023;3509908;15
2023;3509957;4
2023;3510005;9
2023;3510104;0
2023;3510153;1
2023;3510203;23
2023;3510302;8
2023;3510401;23
2023;3510500;605
2023;3510609;488
2023;3510708;1
2023;3510807;35
2023;3510906;2
2023;3511003;17
2023;3511102;71
2023;3511201;1
2023;3511300;0
2023;3511409;4
2023;3511508;26
