cod_ibge,ano,div_industria_transf_pc10k,formal_total_pc1000,tag_inddiv_vs_formal
3522653,2018,0.0,122.48803827751196,Low-Industrial-Diversity & Low-Formal
3522703,2018,668.6242418407625,254.1638586694907,Mid-Industrial-Diversity & Mid-Formal
3522802,2018,207.6525054466231,154.13943355119824,Mid-Industrial-Diversity & Mid-Formal
3522901,2018,1611.1473982146745,314.2463168589883,High-Industrial-Diversity & High-Formal
3523008,2018,0.0,110.86248982912937,Low-Industrial-Diversity & Low-Formal
3523107,2018,415.4467617765233,111.82468988556056,Mid-Industrial-Diversity & Low-Formal
3523206,2018,188.09416948875923,172.32445224203354,Mid-Industrial-Diversity & Mid-Formal
3523305,2018,31.26085446335533,87.29883061248118,Low-Industrial-Diversity & Low-Formal
3523404,2018,991.8077275348554,278.3846127751959,High-Industrial-Diversity & High-Formal
3523503,2018,196.10705596107056,140.5839416058394,Mid-Industrial-Diversity & Mid-Formal
3523602,2018,272.69549003612633,293.90513926115835,Mid-Industrial-Diversity & High-Formal
3523701,2018,130.5940436375219,121.35690396559961,Mid-Industrial-Diversity & Low-Formal
3523800,2018,74.91128926271521,125.24641871467998,Low-Industrial-Diversity & Low-Formal
3523909,2018,950.6279009495088,324.6177225926537,High-Industrial-Diversity & High-Formal
3524006,2018,1867.5095927923055,470.98497270068793,High-Industrial-Diversity & High-Formal
3524105,2018,236.04830293693786,181.23540227600256,Mid-Industrial-Diversity & Mid-Formal
3524204,2018,34.44660775797514,129.3994308821327,Low-Industrial-Diversity & Low-Formal
3524303,2018,597.2703143315234,288.96134517185163,Mid-Industrial-Diversity & High-Formal
3524402,2018,550.4397990743381,216.47327206124285,Mid-Industrial-Diversity & Mid-Formal
3524501,2018,1700.3874300473526,365.61917061271345,High-Industrial-Diversity & High-Formal
3524600,2018,218.90605040065032,208.57043316687955,Mid-Industrial-Diversity & Mid-Formal
3524709,2018,2387.507292882147,626.2033255542591,High-Industrial-Diversity & High-Formal
3524808,2018,379.2271553730901,239.38714182926313,Mid-Industrial-Diversity & Mid-Formal
3524907,2018,2124.2355970389444,401.83456710653365,High-Industrial-Diversity & High-Formal
3525003,2018,506.05567826023645,146.99481404173036,Mid-Industrial-Diversity & Mid-Formal
3525102,2018,450.8894225164945,208.23910661413282,Mid-Industrial-Diversity & Mid-Formal
3525201,2018,1071.4285714285713,289.3024815560027,High-Industrial-Diversity & High-Formal
3525300,2018,676.5872343310396,257.38110572522965,Mid-Industrial-Diversity & Mid-Formal
3525409,2018,133.71537726838588,270.2960840496657,Mid-Industrial-Diversity & High-Formal
3525508,2018,513.9744197063003,185.85188694141797,Mid-Industrial-Diversity & Mid-Formal
3525607,2018,11.405109489051094,94.66240875912409,Low-Industrial-Diversity & Low-Formal
3525706,2018,870.7373335927294,273.0607820794308,High-Industrial-Diversity & High-Formal
3525805,2018,4.310344827586206,111.42241379310344,Low-Industrial-Diversity & Low-Formal
3525854,2018,2441.016333938294,388.38475499092556,High-Industrial-Diversity & High-Formal
3525904,2018,985.4403758083221,405.99878137468795,High-Industrial-Diversity & High-Formal
3526001,2018,1080.9867929230002,276.3020184400698,High-Industrial-Diversity & High-Formal
3526100,2018,121.62736350116847,130.07223284469939,Mid-Industrial-Diversity & Low-Formal
3526209,2018,110.52268017499425,173.71139107266208,Mid-Industrial-Diversity & Mid-Formal
3526308,2018,64.32869890018677,145.05084042332433,Low-Industrial-Diversity & Mid-Formal
3526407,2018,1589.782280663936,324.0281669900122,High-Industrial-Diversity & High-Formal
3526506,2018,0.0,85.41176470588235,Low-Industrial-Diversity & Low-Formal
3526605,2018,117.20385098367517,110.36695967629413,Mid-Industrial-Diversity & Low-Formal
3526704,2018,654.1223075018569,220.2228274325328,Mid-Industrial-Diversity & Mid-Formal
3526803,2018,733.4609529264579,276.14066291846916,High-Industrial-Diversity & High-Formal
3526902,2018,974.0465744178198,276.3584205197435,High-Industrial-Diversity & High-Formal
3527009,2018,1055.4260554260554,249.2877492877493,High-Industrial-Diversity & Mid-Formal
3527108,2018,1103.120380358784,331.25574333772823,High-Industrial-Diversity & High-Formal
3527207,2018,473.1125705513683,195.6509193319406,Mid-Industrial-Diversity & Mid-Formal
3527256,2018,4.582951420714941,112.28230980751604,Low-Industrial-Diversity & Low-Formal
3527306,2018,1112.745504267838,352.0966271649955,High-Industrial-Diversity & High-Formal
3527405,2018,524.7633093867454,394.309910081355,Mid-Industrial-Diversity & High-Formal
3527504,2018,199.02697921273773,419.72578505086244,Mid-Industrial-Diversity & High-Formal
3527603,2018,909.2192573768177,481.15205421431597,High-Industrial-Diversity & High-Formal
3527702,2018,39.97219325686479,80.8133472367049,Low-Industrial-Diversity & Low-Formal
3527801,2018,291.7891879665234,128.9301063107894,Mid-Industrial-Diversity & Low-Formal
3527900,2018,148.79816863792445,170.54559328500574,Mid-Industrial-Diversity & Mid-Formal
3528007,2018,484.2901015828018,192.29860618946373,Mid-Industrial-Diversity & Mid-Formal
3528106,2018,205.1877661633759,232.28803716608596,Mid-Industrial-Diversity & Mid-Formal
3528205,2018,151.0912143256855,135.98209289311697,Mid-Industrial-Diversity & Low-Formal
3528304,2018,398.3160621761658,200.77720207253884,Mid-Industrial-Diversity & Mid-Formal
